Source,G,C,R,Vab,Prior,Truth,Explanation,Prior_Scaled,Truth_Scaled,Predicted_Probability,Std_Dev
Grid,0.5102040816326531,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.36107137459031147,0.9997870572598623
Grid,0.5306122448979592,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.36257312262792724,0.9998224075593607
Grid,0.5510204081632654,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.3626606402107133,0.9998292815613063
Grid,0.5714285714285715,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.3613356444605409,0.9998087649737492
Grid,0.5918367346938777,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.35855621792577996,0.9997575870008792
Grid,0.6122448979591838,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.35423702472220203,0.9996676055029446
Grid,0.6326530612244898,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.34825005789477753,0.9995245294981394
Grid,0.653061224489796,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.34042664254500293,0.9993056820352879
Grid,0.6734693877551021,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.33056193563895814,0.9989764588240446
Grid,0.6938775510204083,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.31842384884985375,0.9984849366908745
Grid,0.7142857142857144,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.3037691806481182,0.9977537979521814
Grid,0.7346938775510206,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.28637066223541735,0.9966683123557
Grid,0.7551020408163266,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.2660592108108784,0.9950584783235988
Grid,0.7755102040816327,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.24278504937395512,0.992672438736234
Grid,0.7959183673469389,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.21669787276466215,0.9891367254043797
Grid,0.816326530612245,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.18823772420418056,0.9838963316012594
Grid,0.8367346938775512,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.15821330181047732,0.9761232378010651
Grid,0.8571428571428572,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.1278259427017363,0.9645740422573369
Grid,0.8775510204081634,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.09858744648841511,0.9473614959607711
Grid,0.8979591836734694,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.07209887956940803,0.9215694533846045
Grid,0.9183673469387754,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.049719524840057594,0.8825513373794107
Grid,0.9387755102040817,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.032238929619665346,0.822493567786219
Grid,0.959183673469388,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.019707150383915083,0.7269255616846096
Grid,0.979591836734694,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.011522282473876998,0.5624409018692069
Grid,1.0,0.0,0.0,0.4086272711092749,0,,,-0.4054651081081643,,0.0066928509260269255,1.0000000413701846e-05
Grid,0.0,0.0,0.020408163265306124,0.4086272711092749,0,,,-0.4054651081081643,,0.006840829208346358,0.36744693852890287
Grid,0.020408163265306124,0.0,0.020408163265306124,0.4086272711092749,0,,,-0.4054651081081643,,0.0062090991152980515,0.5287938372993205
Grid,0.04081632653061225,0.0,0.020408163265306124,0.4086272711092749,0,,,-0.4054651081081643,,0.006290448766082618,0.6199975983837859
Grid,0.06122448979591836,0.0,0.020408163265306124,0.4086272711092749,0,,,-0.4054651081081643,,0.006243484038981104,0.5865280210422351
Grid,0.08163265306122448,0.0,0.020408163265306124,0.4086272711092749,0,,,-0.4054651081081643,,0.006323760662176864,0.4263393722034144
