d,Method,random_seed,epsilonX,epsilonEI,i,EI,y,y*,R,t (s),m (MB)
2,exactBO,2,1e-05,0.1,4,0.11818182970865347,0.25338014660302344,-1.9101873427908376,4.082130114930967,0.370319,nan
2,exactBO,2,1e-05,0.1,5,0.09093162414806037,-0.1572452642524409,-1.9101873427908376,4.242713013725769,0.435218,nan
2,exactBO,2,1e-05,0.1,6,0.28679661295944225,-0.9233878164046248,-1.9101873427908376,7.270511280512676,1.982672,nan
2,exactBO,2,1e-05,0.1,7,0.08001956911132399,0.20334935250812558,-1.9101873427908376,8.397248449425426,10.346274,nan
2,exactBO,2,1e-05,0.1,8,0.03794202276833583,2.000762588799746,-1.9101873427908376,11.321398854629798,6.337083,nan
2,exactBO,2,1e-05,0.1,9,0.0287510024341208,-0.9146819360532681,-1.9101873427908376,11.330104734981154,9.618573,nan
2,exactBO,2,1e-05,0.1,10,0.05192304701029771,-1.7815132771779552,-1.9101873427908376,19.05323388194113,7.338782,nan
2,exactBO,3,1e-05,0.1,1,0.24533325325404287,2.067598920541783,-1.9101873427908376,0.0,0.295947,nan
2,exactBO,3,1e-05,0.1,2,0.10989974294841469,0.28829003527888,-1.9101873427908376,1.7793088852629033,0.211199,nan
2,exactBO,3,1e-05,0.1,3,0.10541433091707837,-0.46294911329794886,-1.9101873427908376,3.2817871824165614,2.136853,nan
2,exactBO,3,1e-05,0.1,4,0.094265238385808,2.0019337432310986,-1.9101873427908376,5.746670038945608,1.138978,nan
2,exactBO,3,1e-05,0.1,5,0.11879983349620774,-0.8743512465531054,-1.9101873427908376,7.392278571966234,0.322123,nan
2,exactBO,3,1e-05,0.1,6,0.1644066831420437,-1.3222686271825892,-1.9101873427908376,9.631865475113653,2.682547,nan
2,exactBO,3,1e-05,0.1,7,0.5389988161558932,-1.5082242651898223,-1.9101873427908376,10.747599303157052,7.337912,nan
2,exactBO,3,1e-05,0.1,8,0.15262110864457476,-0.8853480104640843,-1.9101873427908376,11.37047555788279,8.649504,nan
2,exactBO,3,1e-05,0.1,9,0.18661519538958224,-1.7735461523201232,-1.9101873427908376,13.493050654925197,17.047297,nan
2,exactBO,3,1e-05,0.1,10,0.038373727434589194,0.9830939554694578,-1.9101873427908376,16.249690762714778,22.656657,nan
2,exactBO,4,1e-05,0.1,1,0.15972596644451825,-0.8354482061992425,-1.9101873427908376,0.0,0.226275,nan
2,exactBO,4,1e-05,0.1,2,0.2514592393082547,-1.2304300146837703,-1.9101873427908376,0.3949818084845278,0.274717,nan
2,exactBO,4,1e-05,0.1,3,0.08165869562231926,1.931170070271446,-1.9101873427908376,3.556581893439744,2.03564,nan
2,exactBO,4,1e-05,0.1,4,0.2553896898377571,-1.3168192608999378,-1.9101873427908376,3.815749632088247,0.371323,nan
2,exactBO,4,1e-05,0.1,5,0.10385787556337767,-1.5883937997693698,-1.9101873427908376,4.902047787565975,2.208436,nan
