d,Method,random_seed,epsilonX,epsilonEI,i,EI,y,y*,R,t (s),m (MB)
2,gridBO,0,0.001,nan,1,0.21595179078096438,-1.7066413154694584,-1.9101873427908376,0.0,0.2501841800112743,nan
2,gridBO,0,0.001,nan,2,1.0101770666174144,0.953980812558461,-1.9101873427908376,2.6606221280279194,0.03640308100148104,nan
2,gridBO,0,0.001,nan,3,0.10177108110781198,2.0019949361349414,-1.9101873427908376,6.36925837963232,0.041329942003358155,nan
2,gridBO,0,0.001,nan,4,0.16775082874378022,-1.3881643610436152,-1.9101873427908376,6.6877353340581625,0.037530536006670445,nan
2,gridBO,0,0.001,nan,5,0.08131162651161075,-0.9225496876933943,-1.9101873427908376,7.471826961834226,0.040963189996546134,nan
2,gridBO,0,0.001,nan,6,0.13814815418060533,-1.8748662262520024,-1.9101873427908376,8.312951515746946,0.04060074299923144,nan
2,gridBO,0,0.001,nan,7,0.1655721058017535,2.1922706059506134,-1.9101873427908376,12.380088347949561,0.043088260979857296,nan
2,gridBO,0,0.001,nan,8,0.10989646163435578,0.9963613255773642,-1.9101873427908376,15.251315899778927,0.05305047900765203,nan
2,gridBO,0,0.001,nan,9,0.03455663424369858,1.944741774598275,-1.9101873427908376,19.070923900629204,0.04830992201459594,nan
2,gridBO,0,0.001,nan,10,0.008920283481674082,-1.907265983952072,-1.9101873427908376,19.36252171992983,0.04963654599850997,nan
2,gridBO,1,0.001,nan,1,0.07865026648413544,1.5379737020655386,-1.9101873427908376,0.0,0.25088482798309997,nan
2,gridBO,1,0.001,nan,2,0.05541898337701947,0.5072376107657028,-1.9101873427908376,1.0307360912998353,0.03677460900507867,nan
2,gridBO,1,0.001,nan,3,0.31022160654739345,-0.18746129833339742,-1.9101873427908376,2.420133909498036,0.04129089499474503,nan
2,gridBO,1,0.001,nan,4,1.712343026784952,-1.720064002128601,-1.9101873427908376,7.0179420208836465,0.048009437014115974,nan
2,gridBO,1,0.001,nan,5,0.14427747399730095,-1.8273601531252686,-1.9101873427908376,7.447126624870316,0.041235040000174195,nan
2,gridBO,1,0.001,nan,6,0.06091568080180365,1.755349587606575,-1.9101873427908376,11.029836365602158,0.04029648000141606,nan
2,gridBO,1,0.001,nan,7,0.03396355899166199,1.7437707354050151,-1.9101873427908376,14.600967254132442,0.04390423899167217,nan
2,gridBO,1,0.001,nan,8,0.028905992479304046,-1.9074640967889023,-1.9101873427908376,15.161694859777878,0.04804129301919602,nan
2,gridBO,1,0.001,nan,9,0.019872267593259982,1.9999411898211628,-1.9101873427908376,19.069100146387942,0.04823607698199339,nan
2,gridBO,1,0.001,nan,10,0.009688339810913967,0.9963613255773642,-1.9101873427908376,21.97292556875421,0.050132925010984764,nan
2,gridBO,2,0.001,nan,1,0.0103384973281917,0.3666153167364343,-1.9101873427908376,0.0,0.2504420659970492,nan
2,gridBO,2,0.001,nan,2,0.03676857792006493,0.4169692634337314,-1.9101873427908376,0.05035394669729687,0.03636248700786382,nan
2,gridBO,2,0.001,nan,3,0.02333259395430974,2.119022462886723,-1.9101873427908376,1.8027610928475841,0.04125128602026962,nan
2,gridBO,2,0.001,nan,4,0.11564175913566821,-0.288797092526075,-1.9101873427908376,3.768998320635113,0.037820263009052724,nan
2,gridBO,2,0.001,nan,5,0.1375703421041404,-0.7344935618454334,-1.9101873427908376,5.551784197912547,0.041440550005063415,nan
2,gridBO,2,0.001,nan,6,0.19460171038542962,-1.7629639534386783,-1.9101873427908376,10.694136155878773,0.040825349977239966,nan
2,gridBO,2,0.001,nan,7,0.7507766442602464,-1.4119510919944136,-1.9101873427908376,11.045149017323038,0.043770885007688776,nan
2,gridBO,2,0.001,nan,8,0.0851550546542343,-1.9095466792026081,-1.9101873427908376,12.071228097670545,0.0487708360014949,nan
2,gridBO,2,0.001,nan,9,0.07923924522588152,-0.28730535876975605,-1.9101873427908376,13.693469418103398,0.04815065997536294,nan
2,gridBO,2,0.001,nan,10,0.05457410448125923,1.9999411898211628,-1.9101873427908376,17.60295728712717,0.049709125014487654,nan
2,gridBO,3,0.001,nan,1,0.09952385553461252,1.2910666114452742,-1.9101873427908376,0.0,0.24813338700914755,nan
2,gridBO,3,0.001,nan,2,0.06829240568702331,0.26168798803394755,-1.9101873427908376,1.0293786234113265,0.03625284499139525,nan
2,gridBO,3,0.001,nan,3,0.1638271791553889,0.027452258903069682,-1.9101873427908376,1.4978500816730822,0.04093730900785886,nan
2,gridBO,3,0.001,nan,4,0.12187675654610763,0.3288675915073416,-1.9101873427908376,1.7992654142773548,0.03791733999969438,nan
2,gridBO,3,0.001,nan,5,0.07371274543146265,0.953980812558461,-1.9101873427908376,2.7257939679327468,0.04141146800247952,nan
2,gridBO,3,0.001,nan,6,0.045727692383290185,0.35231814668780004,-1.9101873427908376,3.050659855717477,0.039822829014156014,nan
2,gridBO,3,0.001,nan,7,0.052994642700416046,-1.3879801505724534,-1.9101873427908376,11.543254312570618,0.04261473301448859,nan
2,gridBO,3,0.001,nan,8,0.14964873202981857,-1.571926414861744,-1.9101873427908376,12.830878162595651,0.04723534101503901,nan
2,gridBO,3,0.001,nan,9,0.12435722200554084,-1.8936233336536628,-1.9101873427908376,15.404453512931001,0.04837318099453114,nan
2,gridBO,3,0.001,nan,10,0.06630628413375463,-0.937106879688336,-1.9101873427908376,16.360969966896327,0.049504620023071766,nan
